Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,1,2,3,0
AnnualSum,2.0442502479212189e6,6.338558085127766e6,7.548205928606349e7,0.0,0.0,3.477329700979677e7,1.3283987422144322e6,0.0,0.0,1.1996656337112367e8
t1,-0.0,-0.0,8178.3022191499995,-0.0,-0.0,2132.612297555565,944.3711086676534,0.0,-0.0,11255.285625373219
t2,-0.0,-0.0,8056.30221915,-0.0,-0.0,2132.612297555565,461.49993886565267,0.0,-0.0,10650.414455571217
t3,-0.0,-0.0,7965.30221915,-0.0,-0.0,2132.612297555565,102.33683021934237,0.0,-0.0,10200.251346924908
t4,-0.0,-0.0,7920.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,10052.914516705565
t5,-0.0,-0.0,7913.302219150001,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,10045.914516705567
t6,-0.0,-0.0,7948.302219150001,-0.0,-0.0,2132.612297555565,31.51199352592826,0.0,-0.0,10112.426510231495
t7,-0.0,-0.0,8023.30221915,-0.0,-0.0,2132.612297555565,328.811340299584,0.0,-0.0,10484.725857005149
t8,-0.0,-0.0,8090.30221915,-0.0,-0.0,2132.612297555565,598.1690748421,0.0,-0.0,10821.083591547665
t9,-0.0,724.7604922947871,8205.30221915,-0.0,-0.0,2132.612297555565,328.35760270779656,0.0,-0.0,11391.032611708148
t10,-0.0,1747.7360944039551,8318.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,12198.65061110952
t11,-0.0,2341.721927886698,8385.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,12859.636444592263
t12,-0.0,2641.566628465092,8410.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,13184.481145170657
t13,-0.0,2529.124865748194,8423.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,13085.039382453759
t14,-0.0,2428.0902383793873,8400.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,12961.004755084952
t15,-0.0,2042.284624999307,8376.30221915,-0.0,-0.0,2132.612297555565,0.0,0.0,-0.0,12551.199141704872
t16,-0.0,1348.8937549117707,8390.302219150002,-0.0,-0.0,2579.827903571614,-0.0,0.0,0.0,12319.023877633386
t17,-0.0,261.5493176240884,8629.30221915,-0.0,-0.0,4657.368462369123,0.0,0.0,0.0,13548.219999143213
t18,-0.0,-0.0,8856.30221915,-0.0,-0.0,4856.241474048183,966.444930078937,0.0,-0.0,14678.988623277119
t19,-0.0,-0.0,8839.30221915,-0.0,-0.0,4856.241474048183,898.6006307958992,0.0,-0.0,14594.144323994082
t20,-0.0,-0.0,8751.30221915,-0.0,-0.0,4856.241474048183,545.4375221495891,0.0,-0.0,14152.98121534777
t21,-0.0,-0.0,8646.30221915,-0.0,-0.0,4856.241474048183,133.3911890410029,0.0,-0.0,13635.934882239186
t22,-0.0,-0.0,8501.30221915,-0.0,-0.0,4405.197090026076,0.0,0.0,0.0,12906.499309176077
t23,-0.0,-0.0,8321.30221915,-0.0,-0.0,3677.7121315310446,0.0,0.0,0.0,11999.014350681045
t24,-0.0,-0.0,8120.30221915,-0.0,-0.0,2861.718656588283,0.0,0.0,0.0,10982.020875738282
t25,-0.0,-0.0,7949.30221915,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10251.160677848839
t26,-0.0,-0.0,7846.302219150001,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10148.16067784884
t27,-0.0,-0.0,7797.30221915,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10099.160677848839
t28,-0.0,-0.0,7785.302219150001,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10087.16067784884
t29,-0.0,-0.0,7826.30221915,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10128.160677848839
t30,-0.0,-0.0,7929.302219150001,-0.0,-0.0,2301.8584586988386,0.0,0.0,0.0,10231.16067784884
t31,-0.0,-0.0,8084.30221915,-0.0,-0.0,2717.237544009779,0.0,0.0,-0.0,10801.539763159779
t32,-0.0,-0.0,8211.30221915,-0.0,-0.0,3232.0703047892534,0.0,0.0,-0.0,11443.372523939253
t33,-0.0,651.8363056052048,8367.30221915,-0.0,-0.0,3198.1134159706244,0.0,0.0,0.0,12217.25194072583
t34,-0.0,1392.4853078491187,8527.30221915,-0.0,-0.0,3087.8588807319893,0.0,0.0,0.0,13007.64640773111
t35,-0.0,2017.4333658481087,8644.30221915,-0.0,-0.0,2924.6443400895896,0.0,0.0,0.0,13586.379925087698
t36,-0.0,2303.4265449323925,8691.302219150002,-0.0,-0.0,2828.309126118877,0.0,0.0,0.0,13823.03789020127
t37,-0.0,2327.463008701585,8687.30221915,-0.0,-0.0,2785.4978314594605,0.0,0.0,0.0,13800.263059311046
t38,-0.0,2205.6510990916117,8670.30221915,-0.0,-0.0,2837.4770928190255,0.0,0.0,0.0,13713.430411060639
t39,-0.0,1905.3990008222142,8661.30221915,-0.0,-0.0,3109.09339813149,0.0,0.0,0.0,13675.794618103704
t40,47.2252546252889,1300.8208273733865,8702.30221915,-0.0,-0.0,3845.3872502465642,0.0,0.0,0.0,13895.735551395239
t41,201.83516777528786,408.61988407626274,8962.30221915,-0.0,-0.0,5483.307693999999,161.15486129844922,0.0,0.0,15217.2198263
t42,431.2717260155723,-0.0,9225.30221915,-0.0,-0.0,5609.307694,1259.338187134428,0.0,0.0,16525.2198263
t43,431.2717260155723,-0.0,9196.30221915,-0.0,-0.0,5595.307694,1158.3381871344272,0.0,0.0,16381.2198263
t44,335.7597393325531,-0.0,9117.30221915,-0.0,-0.0,5558.307694,977.8501738174465,0.0,0.0,15989.219826300001
t45,201.83516777528786,-0.0,8988.30221915,-0.0,-0.0,5496.307693999999,661.7747453747124,0.0,0.0,15348.2198263
t46,154.60991314999893,-0.0,8786.30221915,-0.0,-0.0,5399.307694,0.0,0.0,0.0,14340.2198263
t47,-0.0,-0.0,8535.30221915,-0.0,-0.0,5280.307693999999,0.0,0.0,0.0,13815.60991315
t48,-0.0,-0.0,8308.30221915,-0.0,-0.0,4905.074201068215,0.0,0.0,0.0,13213.376420218216
t49,-0.0,-0.0,8157.302219150001,-0.0,-0.0,3010.2593158686714,0.0,0.0,0.0,11167.561535018673
t50,-0.0,-0.0,8081.30221915,-0.0,-0.0,3990.3737206714427,0.0,0.0,0.0,12071.675939821444
t51,-0.0,-0.0,8045.30221915,-0.0,-0.0,2746.501846956,0.0,0.0,0.0,10791.804066106
t52,-0.0,-0.0,8050.3022191499995,-0.0,-0.0,2746.501846956,0.0,0.0,0.0,10796.804066106
t53,-0.0,-0.0,8125.30221915,-0.0,-0.0,4168.43045136816,0.0,0.0,0.0,12293.73267051816
t54,-0.0,-0.0,8350.30221915,-0.0,-0.0,3929.219996859357,0.0,0.0,0.0,12279.522216009358
t55,-0.0,-0.0,8748.30221915,-0.0,-0.0,5382.307694,23.609913150000494,0.0,0.0,14154.219826300003
t56,-0.0,-0.0,8971.30221915,-0.0,-0.0,5488.307693999999,804.6099131499993,0.0,0.0,15264.2198263
t57,-0.0,874.6828425839841,9009.30221915,-0.0,-0.0,5506.307694,61.927070566014876,0.0,0.0,15452.219826300001
t58,-0.0,1776.253932774183,9030.30221915,-0.0,-0.0,4735.466482313852,0.0,0.0,0.0,15542.022634238036
t59,-0.0,2357.610437835825,9058.30221915,-0.0,-0.0,4254.4960331147,0.0,0.0,0.0,15670.408690100525
t60,-0.0,2574.753407140559,9063.302219150002,-0.0,-0.0,4753.940239365496,0.0,0.0,0.0,16391.995865656056
